,Dealer,Hard,Soft,Split
2,0.076923077,,0.00591716,0.00591716
3,0.076923077,,0.00591716,0.00591716
4,0.076923077,,0.00591716,0.00591716
5,0.076923077,0.01183432,0.00591716,0.00591716
6,0.076923077,0.01183432,0.00591716,0.00591716
7,0.076923077,0.023668639,0.00591716,0.00591716
8,0.076923077,0.023668639,0.00591716,0.00591716
9,0.076923077,0.035502959,0.00591716,0.00591716
10,0.307692308,0.035502959,,0.094674556
11,0.076923077,0.047337278,,0.00591716
12,,0.082840237,,
13,,0.082840237,,
14,,0.071005917,,
15,,0.071005917,,
16,,0.059171598,,
17,,0.059171598,,
18,,0.047337278,,
19,,0.047337278,,
