Dealer,Card2,Action
2,9,Stand
3,9,Stand
4,9,Stand
5,9,Stand
6,9,Stand
7,9,Stand
8,9,Stand
9,9,Stand
10,9,Stand
11,9,Stand
2,8,Stand
3,8,Stand
4,8,Stand
5,8,Stand
6,8,Stand
7,8,Stand
8,8,Stand
9,8,Stand
10,8,Stand
11,8,Stand
2,7,Stand
3,7,Stand
4,7,Stand
5,7,Stand
6,7,Stand
7,7,Stand
8,7,Stand
9,7,Stand
10,7,Stand
11,7,Stand
2,6,Hit
3,6,Hit
4,6,Hit
5,6,Hit
6,6,Hit
7,6,Hit
8,6,Hit
9,6,Hit
10,6,Hit
11,6,Hit
2,5,Hit
3,5,Hit
4,5,Hit
5,5,Hit
6,5,Hit
7,5,Hit
8,5,Hit
9,5,Hit
10,5,Hit
11,5,Hit
2,4,Hit
3,4,Hit
4,4,Hit
5,4,Hit
6,4,Hit
7,4,Hit
8,4,Hit
9,4,Hit
10,4,Hit
11,4,Hit
2,3,Hit
3,3,Hit
4,3,Hit
5,3,Hit
6,3,Hit
7,3,Hit
8,3,Hit
9,3,Hit
10,3,Hit
11,3,Hit
2,2,Hit
3,2,Hit
4,2,Hit
5,2,Hit
6,2,Hit
7,2,Hit
8,2,Hit
9,2,Hit
10,2,Hit
11,2,Hit
